"Time (s)  קפיץ 1 עגלה עם משקולת","Position (m)  קפיץ 1 עגלה עם משקולת","Velocity (m/s)  קפיץ 1 עגלה עם משקולת","Acceleration (m/s²)  קפיץ 1 עגלה עם משקולת","Force (N)  קפיץ 1 עגלה עם משקולת","Time (s) קפיץ 1 ללא משקולת","Position (m) קפיץ 1 ללא משקולת","Velocity (m/s) קפיץ 1 ללא משקולת","Acceleration (m/s²) קפיץ 1 ללא משקולת","Force (N) קפיץ 1 ללא משקולת","Time (s) קפיץ 2 עגלה ללא משקולת","Position (m) קפיץ 2 עגלה ללא משקולת","Velocity (m/s) קפיץ 2 עגלה ללא משקולת","Acceleration (m/s²) קפיץ 2 עגלה ללא משקולת","Force (N) קפיץ 2 עגלה ללא משקולת","Time (s) פלסטלינה ללא משקולת","Position (m) פלסטלינה ללא משקולת","Velocity (m/s) פלסטלינה ללא משקולת","Acceleration (m/s²) פלסטלינה ללא משקולת","Force (N) פלסטלינה ללא משקולת"
0.036,,,,0.0,0.036,,,,0.0,0.036,,,,0.0,0.036,,,,0.0
0.038,,,,0.0,0.038,,,,0.0,0.038,,,,0.0,0.038,,,,0.0
0.040,0.01,-0.01,0.29,0.0,0.040,3.44E-4,0.00,0.30,0.0,0.040,0.00,-0.01,0.31,0.0,0.040,0.00,0.00,0.38,0.0
0.042,,,,0.0,0.042,,,,0.0,0.042,,,,0.0,0.042,,,,0.0
0.044,,,,0.0,0.044,,,,0.0,0.044,,,,0.0,0.044,,,,0.0
0.046,,,,0.0,0.046,,,,0.0,0.046,,,,0.0,0.046,,,,0.0
0.048,,,,0.0,0.048,,,,0.0,0.048,,,,0.0,0.048,,,,0.0
0.050,0.01,-0.01,0.24,0.0,0.050,3.44E-4,0.00,0.15,0.0,0.050,0.00,0.00,0.11,0.0,0.050,0.00,3.46E-4,-0.04,0.0
0.052,,,,0.0,0.052,,,,0.0,0.052,,,,0.0,0.052,,,,0.0
0.054,,,,0.0,0.054,,,,0.0,0.054,,,,0.0,0.054,,,,0.0
0.056,,,,0.0,0.056,,,,0.0,0.056,,,,0.0,0.056,,,,0.0
0.058,,,,0.0,0.058,,,,0.0,0.058,,,,0.0,0.058,,,,0.0
0.060,0.01,0.00,0.26,0.0,0.060,3.44E-4,0.00,0.05,0.0,0.060,0.00,0.00,-0.05,0.0,0.060,0.00,0.00,-0.10,0.0
0.062,,,,0.0,0.062,,,,0.0,0.062,,,,0.0,0.062,,,,0.0
0.064,,,,0.0,0.064,,,,0.0,0.064,,,,0.0,0.064,,,,0.0
0.066,,,,0.0,0.066,,,,0.0,0.066,,,,0.0,0.066,,,,0.0
0.068,,,,0.0,0.068,,,,0.0,0.068,,,,0.0,0.068,,,,0.0
0.070,0.01,0.00,0.12,0.0,0.070,3.44E-4,0.00,0.00,0.0,0.070,0.00,-0.01,-0.07,0.0,0.070,0.00,0.00,-0.05,0.0
0.072,,,,0.0,0.072,,,,0.0,0.072,,,,0.0,0.072,,,,0.0
0.074,,,,0.0,0.074,,,,0.0,0.074,,,,0.0,0.074,,,,0.0
0.076,,,,0.0,0.076,,,,0.0,0.076,,,,0.0,0.076,,,,0.0
0.078,,,,0.0,0.078,,,,0.0,0.078,,,,0.0,0.078,,,,0.0
0.080,0.01,3.49E-4,-0.08,0.0,0.080,3.44E-4,0.00,0.00,0.0,0.080,0.00,-0.01,0.08,0.0,0.080,0.00,0.00,-1.19E-5,0.0
0.082,,,,0.0,0.082,,,,0.0,0.082,,,,0.0,0.082,,,,0.0
0.084,,,,0.0,0.084,,,,0.0,0.084,,,,0.0,0.084,,,,0.0
0.086,,,,0.0,0.086,,,,0.0,0.086,,,,0.0,0.086,,,,0.0
0.088,,,,0.0,0.088,,,,0.0,0.088,,,,0.0,0.088,,,,0.0
0.090,0.01,0.00,-0.20,0.0,0.090,3.44E-4,0.00,0.00,0.0,0.090,0.00,0.00,0.20,0.0,0.090,0.00,0.00,-0.01,0.0
0.092,,,,0.0,0.092,,,,0.0,0.092,,,,0.0,0.092,,,,0.0
0.094,,,,0.0,0.094,,,,0.0,0.094,,,,0.0,0.094,,,,0.0
0.096,,,,0.0,0.096,,,,0.0,0.096,,,,0.0,0.096,,,,0.0
0.098,,,,0.0,0.098,,,,0.0,0.098,,,,0.0,0.098,,,,0.0
0.100,0.01,-0.01,-0.12,0.0,0.100,3.44E-4,0.00,0.00,0.0,0.100,0.00,0.00,0.15,0.0,0.100,0.00,0.00,0.04,0.0
0.102,,,,0.0,0.102,,,,0.0,0.102,,,,0.0,0.102,,,,0.0
0.104,,,,0.0,0.104,,,,0.0,0.104,,,,0.0,0.104,,,,0.0
0.106,,,,0.0,0.106,,,,0.0,0.106,,,,0.0,0.106,,,,0.0
0.108,,,,0.0,0.108,,,,0.0,0.108,,,,0.0,0.108,,,,0.0
0.110,0.00,-0.01,0.08,0.0,0.110,3.44E-4,0.00,-0.01,0.0,0.110,0.00,0.00,0.05,0.0,0.110,0.00,0.00,0.10,0.0
0.112,,,,0.0,0.112,,,,0.0,0.112,,,,0.0,0.112,,,,0.0
0.114,,,,0.0,0.114,,,,0.0,0.114,,,,0.0,0.114,,,,0.0
0.116,,,,0.0,0.116,,,,0.0,0.116,,,,0.0,0.116,,,,0.0
0.118,,,,0.0,0.118,,,,0.0,0.118,,,,0.0,0.118,,,,0.0
0.120,0.00,0.00,0.20,0.0,0.120,3.44E-4,0.00,0.04,0.0,0.120,0.00,0.00,0.00,0.0,0.120,0.00,0.00,0.11,0.0
0.122,,,,0.0,0.122,,,,0.0,0.122,,,,0.0,0.122,,,,0.0
0.124,,,,0.0,0.124,,,,0.0,0.124,,,,0.0,0.124,,,,0.0
0.126,,,,0.0,0.126,,,,0.0,0.126,,,,0.0,0.126,,,,0.0
0.128,,,,0.0,0.128,,,,0.0,0.128,,,,0.0,0.128,,,,0.0
0.130,0.00,0.00,0.15,0.0,0.130,3.44E-4,-3.45E-4,0.14,0.0,0.130,0.00,0.00,0.00,0.0,0.130,0.00,0.00,0.02,0.0
0.132,,,,0.0,0.132,,,,0.0,0.132,,,,0.0,0.132,,,,0.0
0.134,,,,0.0,0.134,,,,0.0,0.134,,,,0.0,0.134,,,,0.0
0.136,,,,0.0,0.136,,,,0.0,0.136,,,,0.0,0.136,,,,0.0
0.138,,,,0.0,0.138,,,,0.0,0.138,,,,0.0,0.138,,,,0.0
0.140,0.00,0.00,0.05,0.0,0.140,3.44E-4,0.00,0.20,0.0,0.140,0.00,0.00,0.00,0.0,0.140,0.00,3.46E-4,-0.14,0.0
0.142,,,,0.0,0.142,,,,0.0,0.142,,,,0.0,0.142,,,,0.0
0.144,,,,0.0,0.144,,,,0.0,0.144,,,,0.0,0.144,,,,0.0
0.146,,,,0.0,0.146,,,,0.0,0.146,,,,0.0,0.146,,,,0.0
0.148,,,,0.0,0.148,,,,0.0,0.148,,,,0.0,0.148,,,,0.0
0.150,0.00,0.00,0.00,0.0,0.150,3.23E-4,0.01,0.12,0.0,0.150,0.00,0.00,0.00,0.0,0.150,0.00,0.00,-0.20,0.0
0.152,,,,0.0,0.152,,,,0.0,0.152,,,,0.0,0.152,,,,0.0
0.154,,,,0.0,0.154,,,,0.0,0.154,,,,0.0,0.154,,,,0.0
0.156,,,,0.0,0.156,,,,0.0,0.156,,,,0.0,0.156,,,,0.0
0.158,,,,0.0,0.158,,,,0.0,0.158,,,,0.0,0.158,,,,0.0
0.160,0.00,0.00,0.00,0.0,0.160,5.16E-4,0.01,-0.09,0.0,0.160,0.00,0.00,0.01,0.0,0.160,0.00,-0.01,-0.12,0.0
0.162,,,,0.0,0.162,,,,0.0,0.162,,,,0.0,0.162,,,,0.0
0.164,,,,0.0,0.164,,,,0.0,0.164,,,,0.0,0.164,,,,0.0
0.166,,,,0.0,0.166,,,,0.0,0.166,,,,0.0,0.166,,,,0.0
0.168,,,,0.0,0.168,,,,0.0,0.168,,,,0.0,0.168,,,,0.0
0.170,0.00,0.00,0.01,0.0,0.170,5.16E-4,0.00,-0.16,0.0,0.170,0.00,0.00,-0.04,0.0,0.170,0.00,-0.01,0.08,0.0
0.172,,,,0.0,0.172,,,,0.0,0.172,,,,0.0,0.172,,,,0.0
0.174,,,,0.0,0.174,,,,0.0,0.174,,,,0.0,0.174,,,,0.0
0.176,,,,0.0,0.176,,,,0.0,0.176,,,,0.0,0.176,,,,0.0
0.178,,,,0.0,0.178,,,,0.0,0.178,,,,0.0,0.178,,,,0.0
0.180,0.00,0.00,-0.04,0.0,0.180,5.16E-4,-3.45E-4,-0.02,0.0,0.180,0.00,3.46E-4,-0.14,0.0,0.180,0.00,0.00,0.19,0.0
0.182,,,,0.0,0.182,,,,0.0,0.182,,,,0.0,0.182,,,,0.0
0.184,,,,0.0,0.184,,,,0.0,0.184,,,,0.0,0.184,,,,0.0
0.186,,,,0.0,0.186,,,,0.0,0.186,,,,0.0,0.186,,,,0.0
0.188,,,,0.0,0.188,,,,0.0,0.188,,,,0.0,0.188,,,,0.0
0.190,0.00,3.49E-4,-0.13,0.0,0.190,5.16E-4,0.00,0.19,0.0,0.190,0.00,0.00,-0.20,0.0,0.190,0.00,0.00,0.19,0.0
0.192,,,,0.0,0.192,,,,0.0,0.192,,,,0.0,0.192,,,,0.0
0.194,,,,0.0,0.194,,,,0.0,0.194,,,,0.0,0.194,,,,0.0
0.196,,,,0.0,0.196,,,,0.0,0.196,,,,0.0,0.196,,,,0.0
0.198,,,,0.0,0.198,,,,0.0,0.198,,,,0.0,0.198,,,,0.0
0.200,0.00,0.00,-0.23,0.0,0.200,4.95E-4,0.01,0.26,0.0,0.200,0.00,-0.01,-0.12,0.0,0.200,0.00,-3.46E-4,0.19,0.0
0.202,,,,0.0,0.202,,,,0.0,0.202,,,,0.0,0.202,,,,0.0
0.204,,,,0.0,0.204,,,,0.0,0.204,,,,0.0,0.204,,,,0.0
0.206,,,,0.0,0.206,,,,0.0,0.206,,,,0.0,0.206,,,,0.0
0.208,,,,0.0,0.208,,,,0.0,0.208,,,,0.0,0.208,,,,0.0
0.210,0.01,-0.01,-0.28,0.0,0.210,6.88E-4,0.01,0.11,0.0,0.210,0.00,-0.01,0.08,0.0,0.210,0.00,0.00,0.24,0.0
0.212,,,,0.0,0.212,,,,0.0,0.212,,,,0.0,0.212,,,,0.0
0.214,,,,0.0,0.214,,,,0.0,0.214,,,,0.0,0.214,,,,0.0
0.216,,,,0.0,0.216,,,,0.0,0.216,,,,0.0,0.216,,,,0.0
0.218,,,,0.0,0.218,,,,0.0,0.218,,,,0.0,0.218,,,,0.0
0.220,0.00,-0.01,-0.34,0.0,0.220,6.67E-4,0.01,-0.04,0.0,0.220,0.00,0.00,0.20,0.0,0.220,0.00,0.01,0.26,0.0
0.222,,,,0.0,0.222,,,,0.0,0.222,,,,0.0,0.222,,,,0.0
0.224,,,,0.0,0.224,,,,0.0,0.224,,,,0.0,0.224,,,,0.0
0.226,,,,0.0,0.226,,,,0.0,0.226,,,,0.0,0.226,,,,0.0
0.228,,,,0.0,0.228,,,,0.0,0.228,,,,0.0,0.228,,,,0.0
0.230,0.00,-0.01,-0.71,0.0,0.230,8.60E-4,0.01,-0.11,0.0,0.230,0.00,0.00,0.15,0.0,0.230,0.00,0.01,0.11,0.0
0.232,,,,0.0,0.232,,,,0.0,0.232,,,,0.0,0.232,,,,0.0
0.234,,,,0.0,0.234,,,,0.0,0.234,,,,0.0,0.234,,,,0.0
0.236,,,,0.0,0.236,,,,0.0,0.236,,,,0.0,0.236,,,,0.0
0.238,,,,0.0,0.238,,,,0.0,0.238,,,,0.0,0.238,,,,0.0
0.240,0.00,-0.02,-1.24,0.0,0.240,8.60E-4,0.01,-0.02,0.0,0.240,0.00,0.00,0.05,0.0,0.240,0.00,0.01,-0.04,0.0
0.242,,,,0.0,0.242,,,,0.0,0.242,,,,0.0,0.242,,,,0.0
0.244,,,,0.0,0.244,,,,0.0,0.244,,,,0.0,0.244,,,,0.0
0.246,,,,0.0,0.246,,,,0.0,0.246,,,,0.0,0.246,,,,0.0
0.248,,,,0.0,0.248,,,,0.0,0.248,,,,0.0,0.248,,,,0.0
0.250,0.00,-0.04,-1.38,0.0,0.250,8.39E-4,0.01,0.14,0.0,0.250,0.00,0.00,0.01,0.0,0.250,0.00,0.01,-0.10,0.0
0.252,,,,0.0,0.252,,,,0.0,0.252,,,,0.0,0.252,,,,0.0
0.254,,,,0.0,0.254,,,,0.0,0.254,,,,0.0,0.254,,,,0.0
0.256,,,,0.0,0.256,,,,0.0,0.256,,,,0.0,0.256,,,,0.0
0.258,,,,0.0,0.258,,,,0.0,0.258,,,,0.0,0.258,,,,0.0
0.260,0.00,-0.05,-0.66,0.0,0.260,0.00,0.01,0.20,0.0,0.260,0.00,0.00,-0.04,0.0,0.260,0.00,0.01,-0.05,0.0
0.262,,,,0.0,0.262,,,,0.0,0.262,,,,0.0,0.262,,,,0.0
0.264,,,,0.0,0.264,,,,0.0,0.264,,,,0.0,0.264,,,,0.0
0.266,,,,0.0,0.266,,,,0.0,0.266,,,,0.0,0.266,,,,0.0
0.268,,,,0.0,0.268,,,,0.0,0.268,,,,0.0,0.268,,,,0.0
0.270,0.00,-0.06,0.55,0.0,0.270,0.00,0.01,0.15,0.0,0.270,0.00,3.46E-4,-0.14,0.0,0.270,0.00,0.01,-3.11E-14,0.0
0.272,,,,0.0,0.272,,,,0.0,0.272,,,,0.0,0.272,,,,0.0
0.274,,,,0.0,0.274,,,,0.0,0.274,,,,0.0,0.274,,,,0.0
0.276,,,,0.0,0.276,,,,0.0,0.276,,,,0.0,0.276,,,,0.0
0.278,,,,0.0,0.278,,,,0.0,0.278,,,,0.0,0.278,,,,0.0
0.280,0.00,-0.04,1.26,0.0,0.280,0.00,0.01,0.05,0.0,0.280,0.00,0.00,-0.21,0.0,0.280,0.00,0.01,-0.01,0.0
0.282,,,,0.0,0.282,,,,0.0,0.282,,,,0.0,0.282,,,,0.0
0.284,,,,0.0,0.284,,,,0.0,0.284,,,,0.0,0.284,,,,0.0
0.286,,,,0.0,0.286,,,,0.0,0.286,,,,0.0,0.286,,,,0.0
0.288,,,,0.0,0.288,,,,0.0,0.288,,,,0.0,0.288,,,,0.0
0.290,0.00,-0.02,1.16,0.0,0.290,0.00,0.01,0.04,0.0,0.290,0.00,-0.01,-0.08,0.0,0.290,0.00,0.01,0.04,0.0
0.292,,,,0.0,0.292,,,,0.0,0.292,,,,0.0,0.292,,,,0.0
0.294,,,,0.0,0.294,,,,0.0,0.294,,,,0.0,0.294,,,,0.0
0.296,,,,0.0,0.296,,,,0.0,0.296,,,,0.0,0.296,,,,0.0
0.298,,,,0.0,0.298,,,,0.0,0.298,,,,0.0,0.298,,,,0.0
0.300,0.00,-0.01,0.60,0.0,0.300,0.00,0.01,0.14,0.0,0.300,0.00,-0.01,0.22,0.0,0.300,0.00,0.01,0.10,0.0
0.302,,,,0.0,0.302,,,,0.0,0.302,,,,0.0,0.302,,,,0.0
0.304,,,,0.0,0.304,,,,0.0,0.304,,,,0.0,0.304,,,,0.0
0.306,,,,0.0,0.306,,,,0.0,0.306,,,,0.0,0.306,,,,0.0
0.308,,,,0.0,0.308,,,,0.0,0.308,,,,0.0,0.308,,,,0.0
0.310,0.00,-0.01,0.31,0.0,0.310,0.00,0.01,0.20,0.0,0.310,0.00,-6.92E-4,0.40,0.0,0.310,0.00,0.01,0.10,0.0
0.312,,,,0.0,0.312,,,,0.0,0.312,,,,0.0,0.312,,,,0.0
0.314,,,,0.0,0.314,,,,0.0,0.314,,,,0.0,0.314,,,,0.0
0.316,,,,0.0,0.316,,,,0.0,0.316,,,,0.0,0.316,,,,0.0
0.318,,,,0.0,0.318,,,,0.0,0.318,,,,0.0,0.318,,,,0.0
0.320,0.00,-0.01,0.48,0.0,0.320,0.00,0.02,0.15,0.0,0.320,0.00,0.01,0.27,0.0,0.320,0.00,0.01,0.05,0.0
0.322,,,,0.0,0.322,,,,0.0,0.322,,,,0.0,0.322,,,,0.0
0.324,,,,0.0,0.324,,,,0.0,0.324,,,,0.0,0.324,,,,0.0
0.326,,,,0.0,0.326,,,,0.0,0.326,,,,0.0,0.326,,,,0.0
0.328,,,,0.0,0.328,,,,0.0,0.328,,,,0.0,0.328,,,,0.0
0.330,0.00,0.00,1.22,0.0,0.330,0.00,0.02,0.05,0.0,0.330,0.00,0.01,-0.04,0.0,0.330,0.00,0.01,1.24E-13,0.0
0.332,,,,0.0,0.332,,,,0.0,0.332,,,,0.0,0.332,,,,0.0
0.334,,,,0.0,0.334,,,,0.0,0.334,,,,0.0,0.334,,,,0.0
0.336,,,,0.0,0.336,,,,0.0,0.336,,,,0.0,0.336,,,,0.0
0.338,,,,0.0,0.338,,,,0.0,0.338,,,,0.0,0.338,,,,0.0
0.340,0.00,0.01,2.28,0.0,0.340,0.00,0.02,-0.01,0.0,0.340,0.00,0.00,-0.16,0.0,0.340,0.00,0.01,8.67E-16,0.0
0.342,,,,0.0,0.342,,,,0.0,0.342,,,,0.0,0.342,,,,0.0
0.344,,,,0.0,0.344,,,,0.0,0.344,,,,0.0,0.344,,,,0.0
0.346,,,,0.0,0.346,,,,0.0,0.346,,,,0.0,0.346,,,,0.0
0.348,,,,0.0,0.348,,,,0.0,0.348,,,,0.0,0.348,,,,0.0
0.350,0.00,0.04,2.55,0.0,0.350,0.00,0.02,0.04,0.0,0.350,0.00,-3.46E-4,-0.02,0.0,0.350,0.00,0.01,-1.22E-13,0.0
0.352,,,,0.0,0.352,,,,0.0,0.352,,,,0.0,0.352,,,,0.0
0.354,,,,0.0,0.354,,,,0.0,0.354,,,,0.0,0.354,,,,0.0
0.356,,,,0.0,0.356,,,,0.0,0.356,,,,0.0,0.356,,,,0.0
0.358,,,,0.0,0.358,,,,0.0,0.358,,,,0.0,0.358,,,,0.0
0.360,0.00,0.08,1.31,0.0,0.360,0.00,0.02,0.14,0.0,0.360,0.00,0.00,0.14,0.0,0.360,0.00,0.01,-1.23E-13,0.0
0.362,,,,0.0,0.362,,,,0.0,0.362,,,,0.0,0.362,,,,0.0
0.364,,,,0.0,0.364,,,,0.0,0.364,,,,0.0,0.364,,,,0.0
0.366,,,,0.0,0.366,,,,0.0,0.366,,,,0.0,0.366,,,,0.0
0.368,,,,0.0,0.368,,,,0.0,0.368,,,,0.0,0.368,,,,0.0
0.370,0.00,0.08,-0.91,0.0,0.370,0.00,0.02,0.20,0.0,0.370,0.00,0.01,0.15,0.0,0.370,0.00,0.01,-0.01,0.0
0.372,,,,0.0,0.372,,,,0.0,0.372,,,,0.0,0.372,,,,0.0
0.374,,,,0.0,0.374,,,,0.0,0.374,,,,0.0,0.374,,,,0.0
0.376,,,,0.0,0.376,,,,0.0,0.376,,,,0.0,0.376,,,,0.0
0.378,,,,0.0,0.378,,,,0.0,0.378,,,,0.0,0.378,,,,0.0
0.380,0.00,0.05,-2.24,0.0,0.380,0.00,0.02,0.15,0.0,0.380,0.00,0.01,0.05,0.0,0.380,0.00,0.01,0.04,0.0
0.382,,,,0.0,0.382,,,,0.0,0.382,,,,0.0,0.382,,,,0.0
0.384,,,,0.0,0.384,,,,0.0,0.384,,,,0.0,0.384,,,,0.0
0.386,,,,0.0,0.386,,,,0.0,0.386,,,,0.0,0.386,,,,0.0
0.388,,,,0.0,0.388,,,,0.0,0.388,,,,0.0,0.388,,,,0.0
0.390,0.00,0.02,-1.97,0.0,0.390,0.00,0.02,0.05,0.0,0.390,0.00,0.01,0.04,0.0,0.390,0.00,0.01,0.10,0.0
0.392,,,,0.0,0.392,,,,0.0,0.392,,,,0.0,0.392,,,,0.0
0.394,,,,0.0,0.394,,,,0.0,0.394,,,,0.0,0.394,,,,0.0
0.396,,,,0.0,0.396,,,,0.0,0.396,,,,0.0,0.396,,,,0.0
0.398,,,,0.0,0.398,,,,0.0,0.398,,,,0.0,0.398,,,,0.0
0.400,0.00,0.01,-1.03,0.0,0.400,0.00,0.02,0.01,0.0,0.400,0.00,0.01,0.10,0.0,0.400,0.00,0.01,0.11,0.0
0.402,,,,0.0,0.402,,,,0.0,0.402,,,,0.0,0.402,,,,0.0
0.404,,,,0.0,0.404,,,,0.0,0.404,,,,0.0,0.404,,,,0.0
0.406,,,,0.0,0.406,,,,0.0,0.406,,,,0.0,0.406,,,,0.0
0.408,,,,0.0,0.408,,,,0.0,0.408,,,,0.0,0.408,,,,0.0
0.410,0.00,0.00,-0.36,0.0,0.410,0.00,0.02,-0.04,0.0,0.410,0.00,0.01,0.10,0.0,0.410,0.00,0.01,0.01,0.0
0.412,,,,0.0,0.412,,,,0.0,0.412,,,,0.0,0.412,,,,0.0
0.414,,,,0.0,0.414,,,,0.0,0.414,,,,0.0,0.414,,,,0.0
0.416,,,,0.0,0.416,,,,0.0,0.416,,,,0.0,0.416,,,,0.0
0.418,,,,0.0,0.418,,,,0.0,0.418,,,,0.0,0.418,,,,0.0
0.420,0.00,0.00,-0.15,0.0,0.420,0.00,0.02,-0.14,0.0,0.420,0.00,0.01,0.05,0.0,0.420,0.00,0.01,-0.10,0.0
0.422,,,,0.0,0.422,,,,0.0,0.422,,,,0.0,0.422,,,,0.0
0.424,,,,0.0,0.424,,,,0.0,0.424,,,,0.0,0.424,,,,0.0
0.426,,,,0.0,0.426,,,,0.0,0.426,,,,0.0,0.426,,,,0.0
0.428,,,,0.0,0.428,,,,0.0,0.428,,,,0.0,0.428,,,,0.0
0.430,0.00,0.00,-0.06,0.0,0.430,0.00,0.02,-0.20,0.0,0.430,0.00,0.01,-0.01,0.0,0.430,0.00,0.01,-0.07,0.0
0.432,,,,0.0,0.432,,,,0.0,0.432,,,,0.0,0.432,,,,0.0
0.434,,,,0.0,0.434,,,,0.0,0.434,,,,0.0,0.434,,,,0.0
0.436,,,,0.0,0.436,,,,0.0,0.436,,,,0.0,0.436,,,,0.0
0.438,,,,0.0,0.438,,,,0.0,0.438,,,,0.0,0.438,,,,0.0
0.440,0.00,0.00,0.03,0.0,0.440,0.00,0.02,-0.15,0.0,0.440,0.00,0.01,0.04,0.0,0.440,0.00,0.01,0.08,0.0
0.442,,,,0.0,0.442,,,,0.0,0.442,,,,0.0,0.442,,,,0.0
0.444,,,,0.0,0.444,,,,0.0,0.444,,,,0.0,0.444,,,,0.0
0.446,,,,0.0,0.446,,,,0.0,0.446,,,,0.0,0.446,,,,0.0
0.448,,,,0.0,0.448,,,,0.0,0.448,,,,0.0,0.448,,,,0.0
0.450,0.00,-3.49E-4,0.17,0.0,0.450,0.00,0.02,-0.05,0.0,0.450,0.00,0.01,0.10,0.0,0.450,0.00,0.01,0.24,0.0
0.452,,,,0.0,0.452,,,,0.0,0.452,,,,0.0,0.452,,,,0.0
0.454,,,,0.0,0.454,,,,0.0,0.454,,,,0.0,0.454,,,,0.0
0.456,,,,0.0,0.456,,,,0.0,0.456,,,,0.0,0.456,,,,0.0
0.458,,,,0.0,0.458,,,,0.0,0.458,,,,0.0,0.458,,,,0.0
0.460,0.00,0.00,0.39,0.0,0.460,0.00,0.02,6.30E-14,0.0,0.460,0.00,0.01,0.10,0.0,0.460,0.00,0.01,0.25,0.0
0.462,,,,0.0,0.462,,,,0.0,0.462,,,,0.0,0.462,,,,0.0
0.464,,,,0.0,0.464,,,,0.0,0.464,,,,0.0,0.464,,,,0.0
0.466,,,,0.0,0.466,,,,0.0,0.466,,,,0.0,0.466,,,,0.0
0.468,,,,0.0,0.468,,,,0.0,0.468,,,,0.0,0.468,,,,0.0
0.470,0.00,0.01,0.55,0.0,0.470,0.00,0.02,6.21E-14,0.0,0.470,0.00,0.01,0.05,0.0,0.470,0.00,0.02,0.15,0.0
0.472,,,,0.0,0.472,,,,0.0,0.472,,,,0.0,0.472,,,,0.0
0.474,,,,0.0,0.474,,,,0.0,0.474,,,,0.0,0.474,,,,0.0
0.476,,,,0.0,0.476,,,,0.0,0.476,,,,0.0,0.476,,,,0.0
0.478,,,,0.0,0.478,,,,0.0,0.478,,,,0.0,0.478,,,,0.0
0.480,0.00,0.02,-1.22,0.0,0.480,0.00,0.02,-1.54E-14,0.0,0.480,0.00,0.01,1.55E-14,0.0,0.480,0.00,0.02,0.05,0.0
0.482,,,,0.0,0.482,,,,0.0,0.482,,,,0.0,0.482,,,,0.0
0.484,,,,0.0,0.484,,,,0.0,0.484,,,,0.0,0.484,,,,0.0
0.486,,,,0.0,0.486,,,,0.0,0.486,,,,0.0,0.486,,,,0.0
0.488,,,,0.0,0.488,,,,0.0,0.488,,,,0.0,0.488,,,,0.0
0.490,0.01,0.02,-3.35,0.0,0.490,0.00,0.02,-3.14E-14,0.0,0.490,0.00,0.01,-3.02E-14,0.0,0.490,0.00,0.02,0.01,0.0
0.492,,,,0.0,0.492,,,,0.0,0.492,,,,0.0,0.492,,,,0.0
0.494,,,,0.0,0.494,,,,0.0,0.494,,,,0.0,0.494,,,,0.0
0.496,,,,0.0,0.496,,,,0.0,0.496,,,,0.0,0.496,,,,0.0
